NAME（名字）,ALIAS（别名）,ACTORS（演员）,COVER（图片）,DIRECTORS（导演）,GENRES（分类）,LANGUAGES,REGIONS（国家）,RELEASE_DATE（时间）,STORYLINE（简介）
绝地生存制服少女  ,,飞鸟凛/有末麻佑子/入江纱绫/鹿谷弥生/秦瑞穗/小林万桜/仲村美羽,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2201807161.jpg,金子大志,动作/恐怖,日语,日本,2008/12/6,十七岁的樱和六个朋友一起了主题公园玩。这个主题公园叫“野外生存乐园”，是同行节的叔父开的。在那里，有人扮成忍者、武士、歌手等，游人可以体验战斗队的乐趣另外，在打倒对手操的过程中消解压力。樱等人玩得十分开心。不料，一个敌人突然暴走，用真的盾武器开始了攻击。七个人拼命逃走，却发现竟然被关在个公园里出不去了。
绝地生存制服少女2  ,,仲村美羽/白石隼也/坂本一也/飞鸟凛,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2202006253.jpg,金子大志,动作/恐怖,日语,日本,2008/12/6,“野外生存乐园”的悲剧终于成了过去。葵非常后悔把朋友们带去，让她们丧生。主题公园中暴走的人其实是变成了僵尸，但那里还幸存着一些尚未僵尸化的人。为了挽救幸存者，葵只身再度前往主题公园。葵的男友勇平非常担心突然杳无音讯的她，他循着线索也追去了那里。
迪迦奥特曼：最终圣战  ,超人迪加之最终决战 / 超人迪加身世之谜,长野博/吉本多香美/大泷明利/增田由纪夫/影丸茂樹/古屋畅一/芳本美代子/川地民夫/高树澪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2385140076.jpg,村石宏实,动作/科幻/奇幻/冒险,日语,日本,2000/3/11,在邪神加坦杰厄和迪迦奥特曼的决战结束后，人类世界迎来了长达两年的和平岁月。这一日，入间队长随同GUTS考古队来到位于南太平洋的远古遗迹露露耶，他们再次发现了业已毁灭的超古代城市以及三尊邪神的石像希特拉（婆裟羅天明 饰）、达拉姆（松田優 饰）及女领袖卡美拉（芳本美代子 饰）。入间极力反对对古迹的触动，但丝毫无法改变上层的决定，最终导致三尊邪神复活，人类再度面临危机。与此同时，圆·大古（长野博 饰）与柳濑·蕾娜（吉本多香美 饰）相知相守，即将步入婚礼的殿堂。可是邪神指挥其爪牙向人类世界发起进攻，早已丧失奥特曼力量的大古，面对当前的危机束手无策。
黎明行动  ,,谢君豪/安雅/韦力/王刚/来喜/方小月/姚安濂/王帅,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2377518774.jpg,包福明,剧情,汉语普通话,中国大陆,2008/12/7,1945年，世界反法西斯战争取得了决定性的胜利。
活体试验  ,最终阶段,高野八诚/清水由美,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1033411476.jpg,叶山阳一郎,剧情/惊悚/恐怖,日语,日本,2007/2/17,福家念，一个冒险整备员梦想自己要横跨美国大陆，但不幸25岁那年被诊断出肺部出现癌变症状。来到了一家医院住院进行治疗。每天进行服用药物，但药物副作用竟然极其之大：呕吐、皮疹、搔痒、尿血甚至皮疹已经开始化脓。福家越来觉得越不对劲某天早上中惊恐发现原来这家医院用患者进行人体药物试验……
蟹工船  ,,松田龙平/西岛秀俊/高良健吾/新井浩文/柄本时生/木下隆行/木本武宏/皆川猿时/谷村美月/大杉涟/森本治行,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1026560443.jpg,萨布,剧情/动作/冒险,日语,日本,2009/7/4,在军国主义甚嚣尘上之时，一艘名为“博光丸”的渔船载着数十名蟹工颠簸在堪察加半岛海域的惊涛骇浪之中。这艘船由专事蟹肉罐头制作的食品公司所有，并以帝国的名义进行疯狂的捕捞和生产。蟹工们出身各有不同，但无一例外都来自穷苦人家。为了那点可怜的工钱，他们每天要进行高强度的劳作，还要随时忍受魔鬼工头浅川（西岛秀俊 饰）的责罚与打骂。蟹工们求生不能，求死不得，绝望与颓废的情绪在“博光丸”内肆意蔓延。偶然机会，蟹工新庄（松田龍平 饰）和塩田（新井浩文 饰）登上一艘俄国人的船，他们为船上自由快乐的气氛所感染。回到“博光丸”后，新庄鼓舞大家奋起反抗资本家的压榨……
大战争神击的红色荒野  ,大战争,田中秀幸/冬馬由美/辻谷耕史/千葉一伸,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2241873571.jpg,滝沢敏文/久米一成,科幻/动画/战争,日语,日本,1993/9/25,原作：荒巻義雄
鲁邦三世：通往恶魔岛  ,鲁邦三世：连接阿尔卡特拉兹,栗田贯一/小林清志/绪方贤一/出光元/松井范雄/池田胜/川上伦子/增山江威子/井上真树夫/纳谷悟朗/石田太郎/大塚明夫/泷口顺平/立木文彦/沢海陽子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2476825610.jpg,殿勝秀樹/柏原寛司,喜剧/动作/动画/悬疑/犯罪,日语,日本,2001/8/3,鲁邦一伙洗劫了黑帮的赌船，而鲁邦自己对船上的大堆现金好像并无兴趣，他其实另有所图……
Federal Hill  ,,尼古拉斯·特图罗/安东尼·德·桑多,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2483237100.jpg,迈克尔·柯兰特,剧情/犯罪,英语,美国,1994/2/12,"In Providence's Italian neighborhood, Federal Hill, five young men face their choices as they become adults. Bobby, who's sort of dim, owes $30,000 to a counterfeiter who's demanding payment; he asks Ralph, a gifted cat burglar, to help and Ralph comes up with a plan. Later, Frank's dad, who is one of the Hill's top mobsters, wants to have a talk with Ralph about some of this plan. Meanwhile, Ralph's best friend Nicky falls hard for Wendy, a rich blond from Brown, and Nicky begins to imagine a future with her away from Providence. Ralph thinks Nicky's making a big mistake and sets out to prove it. When Ralph insults Frank's dad, things come to a head."
烈火男儿之荣誉  ,烈火男儿3,王宝强,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2192469318.jpg,邓衍成,剧情,普通话/国语,中国大陆,2008/11/19,国内著名的职业棒球队的到来，引发了这座城市一阵棒球狂潮，同时，也引来了一连串的纵火事件。对纵火犯深恶痛绝的平安消防中队消防战士大川和跟他不打不相识，刚参加工作、急功近利想抓罪犯的片儿警方芳展开了一场不动声色的较量。而令这两个“冤家路窄”的年轻人都没有想到的是，在各自的一场明查暗访之后，焦点对准了同一个人，这个人是大川一直尊敬的，因为腿伤退出职业棒球队的学长方涛，而方涛正是方芳相依为命的哥哥……
死神剧场版：黑色褪去呼唤君之名  ,死神 剧场版3 黑色褪去 呼唤君之名,森田成一/折笠富美子/平野绫/神谷浩史/真殿光昭/置鲇龙太郎/伊藤健太郎/三木真一郎/雪野五月/塚田正昭/川上伦子/久川绫/稻田彻/大塚明夫/朴璐美/立木文彦/中尾隆圣/石川英郎/西凛太郎/小西克幸/望月久代/钉宫理惠/桧山修之/福山润/宫田幸季/下屋则子,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2196427398.jpg,阿部记之,动画,日语,日本,2008/12/13,在实验室里工作的涅被像镰刀一样的东西袭击，身体产生了异变。
GS乐园  ,GS乐团大作战！,栗山千明/石田卓也/水嶋ヒロ,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2196467450.jpg,本田隆一,喜剧/音乐,日语,日本,2008/11/15,"1960年代後期樂隊流行的年代,一群年輕將他們的青春投入在音樂的世界的電影『GSワンダーランド』上映日期已經決定為11月15日了.在裡頭,由四位演員擔綱演出,分別是扮成男生的栗山千明,很會唱歌的石田卓也,及人氣急遽上升的水嶋Hiro與淺利陽介,另外還有多位實力演員例如武田真治共同演出."
小城艳阳下  ,,施宁/范艳,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2195344533.jpg,张国志,剧情,普通话/国语,中国大陆,2008/4/17,一次葬礼、一张脸谱、一次异样的邂逅，引发了男主角谢平对自己生活的质疑和对于生活的另外一种可能性的思考。
新·杀手悲歌  ,,石桥凌/沢木麻美/山田辰夫/金山一彦/結城哲也,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2538342618.jpg,望月六郎,剧情/犯罪,日语,日本,1995/7/1,大阪南部，松之木组·平川组行动队长橘孝（石橋凌 饰）在餐馆刺杀敌对组织佐藤组·北心会会长，随后自首，入狱十年。服刑期间，外面的世界发生巨大变化。橘孝的妻子带着女儿改嫁，《暴对法》的颁布也迫使黑帮尽可能用和平的手段摆平纷争，赚钱成了首要目的。出狱后，橘孝虽然受到热烈欢迎，但崇尚古派仁义的他显然成了多余之人。落寞之时，他结识了应召女郎田岛雪（沢木麻美 饰）。雪的男友是隶属北心会的一个粗暴男子，橘孝出手相助，险些引起两派纷争，最终被平川组若头和若头助理沟桥（北見敏之 饰）压下。沟桥从事高利贷和高尔夫球场开发等事业，暗中则和隶属佐藤组的出方组合做毒品生意。
