NAME（名字）,ALIAS（别名）,ACTORS（演员）,COVER（图片）,DIRECTORS（导演）,GENRES（分类）,LANGUAGES,REGIONS（国家）,RELEASE_DATE（时间）,STORYLINE（简介）
倾城,,黄觉/林心如/丁勇岱/孙敏,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1951538144.jpg,黄宏,剧情/犯罪,汉语普通话,中国大陆,2013/5/10,西南某城警官王老石（丁勇岱 饰）对五年前逃脱的银行盗窃犯刘川（黄觉 饰）一直耿耿于怀，发誓要亲手抓获。刘川东躲西藏了好几年，为了女儿，他再次潜回小城，却与王警官不期而遇。两个人展开生死追逐。就在王老石抓获刘川的瞬间，地动山摇，整座城市轰然倾塌。苏醒过来的刘川为了方便，换上了王老石的警服，却没想到这身警服让他陷在救援中无法脱身。而叛逆女孩秦肖雄（林心如 饰）因为刘川的勇敢，心生爱意。
真心话大冒险,,文章/黄维德/苗圃/孙兴/孟丽/李威/秦海璐/刘桦,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1402874081.jpg,马志宇,喜剧/爱情,汉语普通话,中国大陆,2012/2/14,徐承康（黄维德饰）是一家策划公司总监，标准的“钻石王老五”，和朋友玩“真心话大冒险”而结识了身为演员的尤美（孟丽饰）。徐在家里举办一个生日宴会，请来了在美国念书的同学跆拳道教练唐菲（苗圃饰），合作公司的好朋友陶颍（秦海璐饰）。同一天，陶颍的小学同学王奔（文章饰）也在KTV召集了一个聚会。王奔是瑞康鞋业董事长的儿子，母亲早逝，心智不是很成熟，是个典型大男孩。王奔的父亲王总（孙兴饰）是个古董车爱好者，为了激励王奔好好做事，送了一辆有特殊含义的古董奔驰车给他，王奔非常兴奋，于是召集了包括酒吧歌手彭卓然（李威饰）在内的几个好朋友聚会庆祝。
玩命时光,玩命·时光,秦昊/徐娇/秦子越/梁家仁/苑琼丹/罗家英,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1820848570.jpg,曲瓅男,惊悚/奇幻,汉语普通话,中国大陆,2012/12/31,三十岁的国文（秦昊 饰），大学计算机专业毕业，一直在大城市里打工，直到亲妹妹国妹妮婚嫁才回到家乡。十年没有回到家乡的国文对家乡的镇子已然感到陌生。中国乡镇的变化之大已经超过了国文的想象。
石榴树上结樱桃,龙凤呈祥,师春玲/宁理/缪婷茹/张刚,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1904537338.jpg,陈力,剧情,汉语普通话,中国大陆,2013/4/4,孔繁花（师春玲 饰）是官庄村的村长，尽管身为女流之辈，但孔繁花的能力却一点也不输给男人，在任期间，村子里大大小小的事务均被她安排的井井有条。换届选举即将来临，希望能够连任的孔繁花斗志昂扬地投入到了“战斗”之中，甚至拉来了在外打工养家的丈夫张殿军（宁理 饰）为自己出谋划策。
跟踪孔令学,,范伟/马伊琍/孙宁/支一/白卉子,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p933775270.jpg,张骁,喜剧/悬疑,汉语普通话,中国大陆,2011/4/29,中年男子孔令学（范伟 饰）是东北某市双全文武学校的语文老师，他上课认真负责，无奈所面对的是一群不知天高地厚，对祖国美好文字全无兴趣的新新人类。在一次课上，他没收了女孩刘萌（白卉子 饰）的手机，之后又阻止了追求刘萌的社会青年阿祥（支一 饰）的打架行为，由此惹来了一身麻烦。阿祥每天在孔令学下班后跟踪他，声称要“帮助辛苦的孔老师接送孩子下学”，这令一向忠厚本分的孔令学颇为恐慌。为了甩掉这个死缠烂打的小青年，他每天想尽各种办法，可是女儿的学校和家庭住址终于还是被阿祥搞清楚了。在这一过程中，孔令学的生活渐渐变成了一团乱麻……
房不剩防,,赵毅/李念/李菁/何伟/方青卓/陈羽凡/姜超/颜冠英,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1711912687.jpg,孙达,喜剧/爱情,汉语普通话,中国大陆,2011/3/22,不会水的泳池救生员英铭（赵毅 饰）被揭穿后惨遭辞退，债主又派打手在街头围堵他，幸好有售楼员女友小柯（李念 饰）不离不弃，英铭向女友谎称自己是医生之余，又百忙中借来朋友的房子向未来岳母交差。岳母大人对婚房不满，英铭假戏真做把朋友的房子卖了出去，又如法炮制借房向小柯承诺未来的幸福生活，趁小柯挑剔之机，英铭再次把别人本来就是委托他卖掉的房子转手。一来二去，英铭发现了代理售房的利润，亦洞悉了隐藏在自己身上的售房天才，于是和失业的小柯一起，踏上了售房征途。英铭奇招尽出搞定了多个缺陷房，不料却被道中高手摆了一道，不甘失败的英铭决定向国际大项目迈进……
将爱情进行到底,将爱 电影版 / 对你爱爱爱不完(豆友取名),李亚鹏/徐静蕾/王学兵/何洁/程伊/崔达治/优恵/陈明/宁浩/冯瓅/王芸/曹卫宇/赵薇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p797834801.jpg,张一白,剧情/爱情,汉语普通话,中国大陆,2011/2/12,本片分三个章节，分别展现了杨峥（李亚鹏 饰）与文慧（徐静蕾 饰）在12年后的别样生活。第一章：杨峥与文慧在北京结婚多年，虽然物质生活已经让杨峥兑现了对文慧的承诺，但是精神方面却渐行渐远。终于在一次聚会后，杨峥第一次离家出走……第二章：大家在上海组织同学聚会，主办者分别邀请了汽车修理工杨峥和售货员文慧。前者正在与前妻闹离婚，而后者也是单独抚养一对双胞胎儿子。在聚会上，他们在同学们的怂恿下，又一次走进了对方……第三章：深夜里，杨峥接到了文慧的越洋电话。她在电话里哭着唱生日歌，令杨峥下定决心来法国找他。然而，在波尔多车站，杨峥才赫然发现文慧来接的不是自己，而是一个年轻的女孩，他们在葡萄庄园里享受美酒，但是杨峥却逐渐发现了文慧痛苦的根源……
辛亥革命,,赵文瑄/成龙/李冰冰/胡歌/孙淳/姜武/陈冲/余少群/宁静/房祖名/杜宇航/梅婷/陶泽如/邢佳栋,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1240455745.jpg,张黎/成龙,剧情/历史/战争,汉语普通话,中国大陆,2011/9/23,19世纪末20世纪初，清王朝三百年江山气数将近，内忧外患，时局动荡，正是乱世之际，英雄辈出，中华民族面临着重大的历史变革。以孙中山（赵文瑄 饰）为首的仁人志士意识到只有民主共和才能救中国，他们组成一个个革命政党，旨在推翻满清政府，建立人民当家作主的民主国家。
假装情侣,,黄渤/江一燕/张默/夏嘉伟,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1060964377.jpg,刘奋斗,喜剧/爱情,汉语普通话,中国大陆,2011/6/24,善良的保险公司销售员陈文（黄渤 饰）在广场邂逅了一个疯疯癫癫的女孩，谁知在去精神病院的路上女孩化身成清秀美丽的佳人。虽然惹得一堆麻烦上身，不过陈文次日还是应约与这个叫做沈露（江一燕 饰）的女孩见面。沈露要求陈文做他的假装情侣，而陈文也欣然接受。在接下来的日子里，陈文变成一个随叫随到的小仆人，他按照沈露的要求做着各种各样难为情却又好玩的事情，两人度过了一段难忘的美好时光。在此期间，陈文慢慢喜欢上了这个古灵精怪的女孩，沈露的心中似乎也经历着某种矛盾纠葛。
芳香之城传奇,,朱茵/扎西顿珠/李子雄/张达明/张璇,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p856009680.jpg,徐超/陈明新,爱情/奇幻,汉语普通话,中国大陆,2011/2/22,世外桃源“芳香之城”的公主苏凌芳（朱茵 饰）在城堡毁灭之前，被堡主放进小船顺水漂流，为教堂的神父所救并收养。身有奇异芳香的苏凌芳虽先天失语，但有着能用一个啊字感动世人的天籁之音。时间的残酷带走了神父，也随之埋葬了她谜一般的身世，独自生活的哑女无意间救下了父亲倒台躲避仇人追杀的80后富少蒋少君（扎西顿珠 饰）。身受重伤的蒋少君，在养伤期间爱上了这个不谙世事的女孩，许诺一生一世保护她。但久居世外的生活让他怀念起以往纸醉金迷的城市生活。一次和老欧（张达明 饰）无意的电话联系暴露了他的行踪，再次被仇家抓住囚禁起来。苏凌芳为了寻找到蒋少君，只身来到这个她未曾接触过的现实世界，几经破折终于和爱人在一起。起初想要利用苏凌芳天籁之音在娱乐圈东山再起的蒋少君，终于在真爱的洗礼下得到了灵魂的救赎，用着自己的方式保护着他所爱的这个女孩。
星海,少年星海,徐若瑄/苏嘉航/吴孟达/苏有朋,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1168876925.jpg,李前宽/肖桂云,传记,汉语普通话,中国大陆,2011/6/17,1904年6月，伟大音乐家冼星海降生在澳门疍家的小船上，父亲在他未出生时就已被无情的大海吞噬。家境的贫寒，地位的低下，使幼年的星海（苏嘉航 饰）饱尝了世道的艰难。伹逐渐长大的星海（王成阳 饰）展现出音乐的天赋，他趁去葡国音乐学院送外卖的机会接触到了西洋音乐，妈妈（徐若瑄 饰）和外公尽量给少年星海创造学习的机会，妈妈的自尊自强时刻影响着星海。不久，外公惨死，渔霸借机欺侮妈妈，母子二人不得已赴南洋谋生。在新加坡，星海遇见了恩师肖友梅（苏有朋 饰），肖老师的出现对星海日后的成长起到了至关重要的作用......
魁拔之十万火急,魁拔,竹内顺子/关俊彦/樱井孝宏/柿原彻也/山口理惠/姜广涛/阿杰/刘婧荦/王凯/季冠霖/敖磊,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1091122584.jpg,王川,动画/儿童/奇幻/冒险,汉语普通话,中国大陆,2011/7/8,在偏远的兽国窝窝乡，蛮吉（刘婧荦 配音）和蛮大人（王凯 配音）这两个“独行族妖侠”，整天为了取得象征着成功和光荣的“妖侠纹耀”而刻苦修炼“脉术”，却把他们所生活的“窝窝乡”弄得鸡犬不宁，村民们绞尽脑汁想把他们赶走。一天，消灭魁拔的征兵令突然传到窝窝乡，村民们惊愕之余，村长（李立宏 配音）趁机忽悠蛮大人和蛮吉从军参战。
迷途追凶,报应,黄秋生/任贤齐/文咏珊/张可颐/卢巧音/恭硕良/曹查理/林利,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1594025426.jpg,罗永昌,惊悚/犯罪,粤语,中国香港,2011/5/5,虽已身价千万，功成名就，但是大老板王浩潮（黄秋生 饰）身心始终得不到放松。在外有征地事宜搅扰不堪，内有女儿黛丝（文咏姗 饰）青春叛逆，沉湎毒品无法自拔。在一次父女争吵过后，黛丝神秘失踪，不久一段绑架录像便送到王的手中。起初以为是女儿布下的骗局，王只得被迫就范。谁知五千万赎金奉出，女儿仍不见下落。万般无奈，他委托忠心耿耿的保镖——曾经混过江湖的阿初（任贤齐 饰）调查女儿行踪，最终见到的却是黛丝冰冷的尸体。
背着你跳舞,,徐若瑄/杨祐宁/陆明君,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p800814938.jpg,李芸婵,剧情/爱情,普通话/国语,中国台湾,2010/10/29,夏璇（徐若瑄 饰）打小热爱舞蹈，并且有着极高的天分，然而，一场意外让夏璇的双脚手上，再也无法起舞的她不得不忍痛放弃了自己的梦想。之后，夏璇来到了名为Nine West的专卖店中成为了一名店员，常年习舞的经验让她对顾客的双脚了如指掌，经常能够化腐朽为神奇，替顾客挑选到满意称心的鞋子，她的事业也因此越来越红火起来。
靠岸,,李勇/吴颖/康殿宏/郑明泰,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2370758921.jpg,张荣贵/陈之任,动画,汉语普通话,中国台湾,2010/3/5,创造虚拟偶像“阿贵”的张荣贵所拍摄第一部动画长片。少女“冷光飘浮”在码头上等待爱人“西风间树”，就在开船的前一刻，战事爆发，女孩在混乱中上了一艘奇幻的黑鲸船，船上满载失意的灵魂，但男孩却没有现身。剧情在不同的时空中跳跃，有如线上游戏，而战争的结束与爱情的得与失，都系于一名充满我执的少女身上。
记得我们爱过,,林宗仁/林美照/黄腾浩/傅小芸,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p475327694.jpg,郭春晖,剧情,汉语普通话,中国台湾,2010/5/16,「人生就就像這2條鐵軌，永遠平行到天邊終會交會在一起…就像夫妻一樣，越走越親…」
西游新传,西游新传：大电影,李菁/曹云金/齐杰,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p688973545.jpg,邢如飞,喜剧/动画/儿童/冒险,汉语普通话,中国大陆,2010/11/6,为寻新经，师徒四人相聚在当今社会，但他们俨然己颠覆了原先人们耳熟能详的人物性格。唐僧变成一个孤芳自赏的自恋狂，孙悟空则目中无人，成为了天下老子第一的角色，越来越胖的八戒操一口流利的东北话，色心依旧；而变化最大的当属沙和尚，他变成一个不撞南墙不回头的狠角色。中间还夹杂了一个机器人布鲁，它从里到外、从上到下都是冰冷的，因为热了它会产生短路。西行路上碰上地震加海啸，进水的布鲁果真短路，成为癫狂的疯子，一行五人在取经路上上演了一连串令人捧腹的笑话，使观众忍俊不禁......
雙,,陳昱禎/蕭秉亞/李瑞儂/張凱傑/潘孟婷/黃琳淵/李家慶,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2524028185.jpg,張凱傑,爱情/同性,普通话/国语,中国台湾,2010/5/21,林政哲（何育齐 饰）和何维伦（李家庆 饰）是情同手足的好兄弟，彼此之间感情十分要好。他们形影不离，一起上课，一起打球，一起打打闹闹的走在回家的路上。随着时间的推移，两人都发现他们对彼此的感情早已经超越了友谊，面对心中无法言说的痛处，两个男孩会做出怎样的选择？
决战刹马镇,,孙红雷/林志玲/李立群/黄海波/甘薇/马健/曹炳琨/包贝尔,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p580208004.jpg,李蔚然,喜剧/西部/冒险,汉语普通话,中国大陆,2010/6/22,三十年代纵横西北的土匪胡栓子殒命刹马镇，而传说中他留下的宝藏也埋在了这里……多年之后，刹马镇村长唐高鹏（孙红雷 饰）为了发展经济，携带数件“文物”寻求专家鉴宝，希望达到宣传效果，而此行中，他拿出的胡栓子留下的金牌引起了文物大盗周定邦（李立群 饰）的注意，周定邦了解此金牌中隐藏了胡栓子宝藏的秘密，遂与毛总（黄海波 饰）合作，前往刹马镇以发展经济为名寻找宝藏。另一方面，周定邦派出的手下在刹马镇打听消息，阴错阳差将这里埋有宝藏的消息广播给全镇村民。唐高鹏与老相好春娘（林志玲 饰）等人希望发展旅游事业，周定邦一行的到来点燃了他们致富的梦想，而众人心照不宣关于宝藏的秘密则引发了各方一轮轮的明争暗斗……
血染北沙河,,陶玉玲/马晓伟/吴其江/宋禹,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2503925244.jpg,陈健,剧情/战争,普通话/国语,中国大陆,2010/8/11,"抗战初期，侵华日军气势汹汹地沿津浦线长驱直入破天津，下泉城,占泰安,夺兖州、邹县。并扬言务必在1938年3月16日攻下滕县，继而踏平枣庄、台儿庄，直捣徐州。然而在滕县地区特别是在北沙河一带，却遭到了抗日军民的顽强抵抗。 被激怒的侵华日军血洗了北沙河村，制造了一幕惨绝人寰的“3.15”惨案。北沙河村民在青山、老响叔、彩凤等抗日骨干带领下，积极支援川军铁7团修工事、挖战壕、破公路、炸大桥。在铁7团撤出北沙河回城防守之际，他们和村民做了最坏的准备……"
无人驾驶,,刘烨/高圆圆/李小冉/陈建斌/林心如/王珞丹/黄轩/尤勇/胡一虎/张延/林依轮/王子文/张然,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p524956088.jpg,张杨,剧情/爱情,汉语普通话,中国大陆,2010/7/2,这是关于一群生活在都市中男男女女的爱情故事，他们因为种种机缘深陷于情感的漩涡，上演着一出出犹如无人驾驶般横冲直撞的燥动与狂乱。
摇摆de婚约,摇摆的婚约,姚晨/朱雨辰/郭晓东/蒋小涵/吴辰君/张晨光/马艳丽,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p506963644.jpg,鄢钷/肖蔚鸿,剧情/喜剧,汉语普通话,中国大陆,2010/6/13,与时尚杂志社编辑王顺佳（姚晨 饰）风生水起的爱情相比，她的事业近来陷入低谷。即将结婚的消息惹来单身女上司的妒忌，因此工作上屡屡受挫。还好男朋友的哥们张俊浩（朱雨辰 饰）意外出现在他们的生活里，为他们的生活又带来一些新鲜的趣味。
澳门1949,,吕良伟/韦力/蒋婧/任正斌/翟万臣/宋禹/王帅,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2457823866.jpg,包福明,剧情,汉语普通话,中国大陆,2010/4/2,1949年10月1日新中国成立。人民解放军继续南下。广州解放前夜，国民党特务美制登陆舰“联荣号”溃逃台湾，途中停泊澳门内港。
四个丘比特,,苏有朋/颜丹晨/范明/于娜/四小凤,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p768063874.jpg,王才涛,喜剧/爱情,汉语普通话,中国大陆,2010/4/9,在繁华大都市，博思堂广告公司创意总监齐泊霖（苏有朋 饰）年轻有为，风流倜傥，在这个爱情成为玩笑的年代里，齐拈花惹草，处处留情，却从不向任何人承诺婚约。有的人甘愿玩玩，有的人选择离开步入婚姻殿堂，而齐依旧在乱花丛中游走。某天，齐的公司接了一个大单子，但对方老板只有一个条件，就是让可爱的四胞胎女孩（四小凤 饰）担任广告代言人。为了说动女孩答应出演，齐和他的团队展开浑身解数，终于攻破了孩子们的防线。而女孩们的母亲——在4S供职的单身妈妈白小白（颜丹晨饰）更提出了极其苛刻的条件。
黑猫警长版,黑猫警长 / 黑猫警长2010电影版,吴磊/李扬/大山/林妙可/鞠萍,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1145031933.jpg,戴铁郎,剧情/动画,汉语普通话,中国大陆,2010/4/23,大森林里，小动物们友好相处，互帮互助，过着幸福安宁的生活，而为这片和平充当保护者，就是大名鼎鼎的黑猫警长。每天，警长都和森林警察局的勇士们一起巡逻，监听一切可疑的声音。是的，即使是在如此美丽的大森林里，依然有心怀叵测的坏蛋和蠢蠢欲动的不良分子时刻觊觎着大森林居民的劳动果实。比如偷吃红土的懒惰三人组，席卷庄稼地的蝗虫大军，其中最最冥顽狡猾的便是搬仓鼠一只耳为首的犯罪团伙。他曾从黑猫警长的手中逃脱，却丝毫不吸取教训，从各地乃至海外找来同伙复仇。无论有多大的危险，黑猫警长也决不退缩，带领战友们一次次冲向战斗的最前线。
熊出没注意,,李晨/尚雯婕/李乃文,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p646597011.jpg,程樯,喜剧/惊悚/恐怖,汉语普通话,中国大陆,2010/10/1,乐珊珊（尚雯婕 饰）是演艺圈里一颗冉冉升起的新星，天性崇尚自由的乐珊珊不满意于经纪公司填鸭式的活动安排，和经纪人之间产生了矛盾，一怒之下，乐珊珊上演了“离家出走”的戏码，只身一人来到风景秀丽的江南小镇，决定在这里给自己好好放一个假。
拍卖春天,,陈昭荣/叶全真/白灵/赖琳恩/曾国城/白冰冰/蔡淑臻/夏如芝/林威利/潘安邦/林美秀/潘仪君/小潘潘,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2370713717.jpg,伍宗德,剧情,汉语普通话,中国台湾,2010/5/28,一位年过四十的中年男子（陈昭荣 饰）为了给患癌症的妻子筹钱治病，宁愿出卖自己的肉体，不过几次不成功的交易，令他成了没有职业道德的“不举鸭”；一位刚刚三十的美丽女人（白灵 饰）为了筹钱和出轨前夫争夺儿子的抚养权，也去出卖肉体，成了“明星鸡”。一天，接到应召的“不举鸭”和“明星鸡”坐上同一辆计程车去旅馆，猜不到门后面等待着怎样的寻欢客……
恋人絮语,谈恋爱,陈奕迅/范晓萱/林嘉欣/谢安琪/彭于晏/陈伟霆/陈洁仪/向佐/陈家乐/曾志伟,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p758178913.jpg,曾国祥/尹志文,剧情/爱情,粤语,中国香港,2010/12/31,《恋人絮语》讲述的是都市中错综复杂的爱恨纠葛，其中包含了暗恋、单恋、不伦恋等不同形态爱情。
观音山,,张艾嘉/范冰冰/陈柏霖/肥龙/方励/金晶/刘洁/鲍振江/沈文/李迪/袁泽/陈宇/史敏芳/王国裕/丁娟/黄公望/段博文/李斯丹妮/谢添/李惠娟/向雪/黄鹰/吴小蓉/朱平康/衡文萱/王婷/胡攀科/关越/印一唯/刘文广,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p764496655.jpg,李玉,剧情/爱情,汉语普通话,中国大陆,2011/3/3,豆瓣《观音山》官方小站：
猎艳,,張鈞甯/朱芷瑩/溫昇豪,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1271891778.jpg,卓立,剧情/情色,汉语普通话,中国台湾,2010/4/16,一幢公寓，姐妹俩分住楼上楼下。姐姐如行（朱芷莹 饰）是个作家，妹妹如仪（张均甯 饰）则是一个摄影师，二人终日为自己的事业忙碌，生活波澜不惊。某天，如仪无意中抓拍到一对男女欢愉的画面，后来发现那个女人在背着丈夫偷情，这令她的好奇心陡然而起，于是刻意探究这个女子的生活。如仪将这段经历告诉姐姐，由此也引起如行的兴趣。适值如行遭遇创作瓶颈，她决定将这段偷情故事写入小说。
心灵风暴,美仑美奂,练束梅/孙茜/朱晓渔,https://img3.doubanio.com/view/subject/l/public/s22794536.jpg,金舸,剧情,普通话/国语,中国大陆,2010/3/23,宋美奂在长途汽车站找到姐姐宋美仑已经是夜深了。自从两年前姐姐因吸毒离家出走，美奂就无时无刻不在想着她同胞的姐姐，替姐姐担心。如今，姐姐回来了，正赶上美奂筹备婚礼，美奂自然高兴，娘家终于有人参加她跟刘勇的婚礼，不至于让婆家笑话她娘家无人。
赵氏孤儿,,葛优/王学圻/黄晓明/范冰冰/海清/赵文浩/王翰/赵文卓/鲍国安/张丰毅,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p819200277.jpg,陈凯歌,剧情/动作/历史/武侠/古装,汉语普通话,中国大陆,2010/12/4,《赵氏孤儿》豆瓣官方小站：
维多利亚一号,维多利亚的港湾,何超仪/陈奕迅/周俊伟/曾国祥/单立文/王青/卢海鹏/麦浚龙/叶璇/徐少强/鲍起静/宋小澄/周楚濋/骆应钧/陈伟雄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p499375003.jpg,彭浩翔,剧情/恐怖/犯罪,粤语,中国香港,2010/5/13,某银行话务员邓丽嫦（何超仪 饰）自幼生长在一个平民家庭，她始终有一个情结，那就是努力赚钱买一套可以看得见大海的房子。为了这个目标，阿嫦努力工作，下班后还干着两份兼职，甚至和同事利用职务之便聚敛外快。眼看就要存够豪华大厦维多利亚一号的首付，但是偏偏赶上楼市疯涨的时候，签合同当天房主反悔，宁可赔付违约金也不愿按原价出售。为了房子而不懈努力的阿嫦遭受巨大打击，在万圣节前夜，这个几近崩溃的女子带着一身杀意走进了维多利亚一号……
第36个故事,第三十六个故事,桂纶镁/林辰唏/张翰/马玉/中孝介/巴钰/张为程/张聿文,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p918663787.jpg,萧雅全,剧情/喜剧,汉语普通话,中国台湾,2010/5/14,台北市的一角，伫立着一间清静雅致的咖啡店。它的主人朵儿（桂纶镁 饰）和蔷儿（林辰唏 饰）是一对美丽的姐妹花，朵儿经营咖啡店的想法由来已久，偶然的机缘下，她得以实现自己的梦想。虽然倾注了大量的心血，但是在开业之初的喧嚣后，咖啡店渐渐归于平寂。正当姐妹俩为此烦恼不已之时，一本朋友庆贺开业送的泰文食谱启发了鬼灵精蔷儿的灵感。她鼓励姐姐在咖啡店内开展以物易物的服务，吸引各色人等云集于此，寻找、交换彼此的心爱之物。咖啡店渐渐热闹起来，拥有36个城市故事的周群青（张翰 饰）的到来，也改变着姐妹的人生……
分手说爱你,,房祖名/薛凯琪,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p633976563.jpg,黄真真,剧情/喜剧/爱情,粤语,中国香港,2010/6/16,Joe（房祖名 饰）与阿花（薛凯琪 饰）是一对相亲相爱的快乐小情侣，但是因一些微不足道的原因，Joe最终被女友踢出局。这个伤心的21岁男孩决定自杀，却在给亲友发电邮留遗书时发现一个奇怪的分手网站。该网站的法则是：只要Joe能够拆算其他情侣，他就可以跟自己的女友复合。
街角的小王子,,杨祐宁/郭碧婷/叶羿君/李至正/杨子姗/林辰唏/汤志伟/李芸婵,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p881825595.jpg,林孝谦,剧情,汉语普通话,中国台湾,2010/9/3,《街角的小王子》是台湾首部“宠物愈疗系电影”。片中最重要角色，穿针引线的猫主角“小王子”事实上是由七只小猫轮流扮演的。
迷城,,霍思燕/郭晓然/葛思然/唐以诺,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p810726538.jpg,章家瑞,剧情,汉语普通话,中国大陆,2010/3/24,历史系大二学生赵坡（郭晓然  饰）是一个出身贫寒的男孩，他诚实善良、内向羞涩，周围的同学除了高干军队子弟就是来自富商海归的家庭，与他们比起来，赵坡俨然是一只寒酸可怜的丑小鸭。偶然的机会，他结识了发廊洗头妹甘秀（霍思燕 饰），这是一个出淤泥而不染的清纯女孩，为了养活智障的弟弟辛苦赚钱。某天，赵坡带着甘秀和同乡何昌兴（赵志刚 饰）、杜永庆（唐以诺 饰）外出游玩。但是却目睹两名同乡兽性大发，玷污了甘秀。在此之后，甘秀从赵坡的生活中彻底消失，他四处寻找，似乎进入了一个扑朔迷离的世界……
魔侠传之唐吉可德,唐吉可德,郭涛/林嘉欣/王刚/刘桦/李菁/海一天/苗圃/秦沛/英壮/王双宝/巴多/那威/莫小棋/戎祥/冯砾/洪剑涛,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p544535503.jpg,阿甘,剧情/喜剧/动作/爱情/武侠/古装,汉语普通话,中国大陆,2010/10/15,话说某朝某代，蜀中有一户唐门，祖上本是武功高强的盖世英雄，传至唐方海一辈，则一心教授四个儿子饱读圣贤之书。然而唐家第三子唐吉（郭涛 饰）字可德，无心圣贤，专好武侠神怪小说，以至于走火入魔，不辨虚实。这一日，唐吉可德佩戴祖宗的甲胄和霸王枪，骑着家中的瘦马爪黄飞电离家出走，他访名山，会高友，指望打通任督二脉成为爵士奇侠。
我的美女老板,,何润东/景甜/印小天/包小柏/吴大维/范明/陶虹/吴辰君/李子雄,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p567554174.jpg,李虹,剧情,汉语普通话,中国大陆,2010/7/30,老实木讷的宅男级IT上班族大雄（何润东 饰）最近几天倒霉到极点，现实被富二代少女小爱（景甜 饰）的车门撞飞，而后被当作吃霸王餐的落跑者，没钱吃饭、工作被炒、桌球挨屠，总之可以想见的倒霉事他全部中招。不过他因此和小爱相识，还莫名其妙地成为了对方的奴隶。在小爱的张罗下，大雄找到一份新工作，却在上班时发现老板Emma竟和小爱长得一模一样。他的生活变得愈加有趣起来……
神秘日,,郁凌霄/苏啸,https://img1.doubanio.com/view/subject/l/public/s4452277.jpg,杨俊杰,剧情/科幻,普通话/国语,中国大陆,2010/4/18,故事发生在2010年4月的一天凌晨0点整，一个神秘人入住了一间宾馆，故事的前半部分通过服务员的角度在看这个神秘人诡异的一天，神秘人不知道用了什么方法，奇迹般出现在各个角落——刚走出宾馆又走出宾馆，同时房间里面似乎还有一个他，他的各种行为都让人害怕…… 　　故事的主人公，在22小时后，死在了房间里。送他来的人接他走了……服务员回到了神秘人的房间，发现了一个惊天秘密……
人间喜剧,,杜汶泽/王祖蓝/薛凯琪/罗凯珊/许绍雄/徐天佑/郑诗君/吴家丽/李曼筠/李力持/罗永昌/郑保瑞/郭子健/冯志强/潘恒生,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p516135005.jpg,陈庆嘉/秦小珍,喜剧,粤语,中国香港,2010/7/8,年轻杀手司徒春运（杜汶泽 饰）和老前辈夕阳（许绍雄 饰）受雇从内地来至香港，由于消息走漏，二人中途分别，并相约在某大厦露台会面。身无分文的春运没有等到夕阳，却等来寒流与重感冒，最终昏倒在地。住在大厦内的小编剧诸葛头揪（王祖蓝 饰）发现春运，这个心地善良却又有点儿婆婆妈妈的小男人将其带回自己家中悉心照料。苏醒后的春运几度想杀头揪灭口，对方则一根筋地爱心泛滥，甚至大谈与野蛮女友徐天爱（薛凯琪 饰）浪漫又悲惨的恋爱史，全然不知危险所在。
